posts,angry,fear,happy,neutral,sad,surprise
今天是我和自己的一次对话。原来，和自己独处的时候，才能真正听见内心的声音。其实，我们都比自己想象的要强大。,0.0,0.0,0.76,0.1,0.15,0.06
好像总是有人教你怎么生活，但我觉得，最重要的是你自己怎么去感受生活。,0.0,0.0,0.52,0.37,0.18,0.06
这段时间心情一直不好，有些日子真的很难熬。但我告诉自己，哪怕再难，也得笑着走下去。,0.06,0.06,0.41,0.12,0.49,0.0
看到朋友们的朋友圈，不禁觉得自己真的太懒了。人们都在追逐自己的梦想，而我却总是在原地徘徊。,0.14,0.0,0.0,0.11,0.86,0.06
不知道为什么，有时候感到空虚，就连深夜里的一杯咖啡也难以安抚我的心情。,0.0,0.0,0.0,0.0,0.99,0.0
生活中有那么多让人疲惫的瞬间，但我总是默默地告诉自己：“一切都会过去的。”希望有一天，真的能活得轻松一些。,0.0,0.0,0.84,0.0,0.13,0.0
最近发现自己越来越依赖那些微小的幸福，比如清晨的第一缕阳光，或者雨后泥土的清新气息。,0.0,0.0,0.42,0.16,0.37,0.0
今天心情不好，看着窗外的雨水滴答滴答地落下，突然觉得，雨也是一种很好的疗愈。它清洗了城市，也清洗了我。,0.0,0.0,0.6,0.18,0.36,0.0
偶尔会迷茫，想不出自己到底想要什么。但就像那首歌唱的：“走一步，再看一步。”,0.0,0.0,0.49,0.26,0.29,0.0
我妈总说我太感性，每次看到电影里有个感人的场景，都会不自觉流泪。大概，感性是我人生的一部分吧。,0.0,0.0,0.62,0.12,0.35,0.0
刚刚和朋友聊到未来，才发现自己从未认真思考过这个问题。也许，我就是那种总活在当下的人吧。,0.0,0.0,0.28,0.24,0.28,0.21
今天无意中翻到一本老相册，看到自己小时候的样子，突然觉得，原来我也曾有过那么单纯的时光。,0.0,0.0,0.51,0.0,0.38,0.22
生活中的烦恼，往往是因为你期待的太多，现实却总是让人失望。也许，学会放下，才是最大的智慧。,0.0,0.0,0.6,0.24,0.32,0.0
每次看完一本书，总觉得自己好像学到了很多东西。可是，当下的生活依然是那么复杂，依然需要一步步走下去。,0.0,0.0,0.17,0.17,0.75,0.0
生活有时像一场没有剧本的旅行，走着走着，就迷路了。无论怎样，我们都只能继续前行。,0.0,0.0,0.12,0.15,0.85,0.0
感觉每天都在努力，但总是很难看到自己进步的痕迹。或许，成长本来就是一个悄无声息的过程。,0.0,0.0,0.15,0.11,0.72,0.0
最近喜欢一个人坐在咖啡馆里，默默看着窗外的世界。那些来来往往的人，似乎和我没有任何关系。,0.12,0.0,0.16,0.2,0.51,0.08
今天做了一件很勇敢的事，虽然心里仍然有点紧张，但也有种莫名的满足感。是不是勇敢，才能看到更广阔的风景？,0.0,0.09,0.94,0.0,0.0,0.0
如果真的可以回到过去，我想和那时候的自己说：你并不孤单，这一切都会过去，你会变得更好。,0.09,0.0,0.82,0.0,0.09,0.0
生活中总是有一些小小的瞬间，会让我感到特别幸福。大概这就是生活的魅力吧，哪怕是最简单的事情。,0.0,0.0,1.0,0.0,0.0,0.0
